                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2599,                 7.3469,                0.93754,                0.38857,                0.19179,                0.16805,                0.09067,                 2.1377,                 2.7865,                0.88353,              0.0003875,              0.0003875,              0.0003875
                      2,                 2.0979,                 2.0873,                0.86145,                0.52157,                0.32197,                0.32675,                 0.1293,                 2.2858,                 1.9504,                0.86386,             0.00072253,             0.00072253,             0.00072253
                      3,                 2.0849,                 1.8919,                0.84485,                0.50784,                0.27753,                0.29153,                0.10369,                 2.6534,                 1.8641,                0.90592,             0.00099156,             0.00099156,             0.00099156
                      4,                 2.0735,                 1.7896,                0.85927,                0.63429,                0.34798,                0.41829,                0.17414,                 2.3105,                 1.7324,                0.87314,             0.00094062,             0.00094062,             0.00094062
                      5,                 1.9611,                 1.5099,                0.85094,                 0.8136,                0.38516,                0.48992,                0.25407,                  1.919,                 1.3902,                 0.8493,             0.00094062,             0.00094062,             0.00094062
                      6,                 1.8036,                 1.3733,                0.85752,                0.67243,                 0.4642,                 0.4996,                0.26356,                 1.6765,                 1.2503,                0.84311,              0.0008375,              0.0008375,              0.0008375
                      7,                  1.681,                 1.2194,                  0.829,                0.84728,                0.46136,                0.55483,                0.31021,                 1.6627,                 1.0662,                0.83539,             0.00073437,             0.00073437,             0.00073437
                      8,                 1.7452,                 1.1428,                0.83675,                0.80593,                0.45865,                0.54995,                 0.3013,                 1.7358,                 1.0829,                0.83658,             0.00063125,             0.00063125,             0.00063125
                      9,                 1.5792,                 1.0337,                 0.8161,                0.84126,                0.46546,                0.57511,                0.32049,                 1.6619,                 1.0208,                0.83139,             0.00052812,             0.00052812,             0.00052812
                     10,                 1.5436,                 0.9575,                0.81434,                0.87037,                0.50265,                0.60185,                0.35124,                 1.5255,                0.91979,                0.82754,               0.000425,               0.000425,               0.000425
                     11,                  1.465,                0.94615,                0.81528,                0.87552,                0.52697,                 0.6081,                0.35574,                 1.5284,                0.89419,                0.82371,             0.00032188,             0.00032188,             0.00032188
                     12,                 1.4357,                0.89103,                0.80877,                0.87433,                0.53725,                0.61256,                0.37876,                 1.4006,                 0.8343,                0.82136,             0.00021875,             0.00021875,             0.00021875
