                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1882,                 2.9401,                0.86346,                0.40164,                0.69225,                0.46081,                 0.2839,                 1.1726,                    nan,                0.85394,              0.0003875,              0.0003875,              0.0003875
                      2,                 1.1075,                 1.1046,                0.85095,                0.96219,                0.19174,                0.29368,                0.20746,                 1.6276,                 2.4569,                 1.1388,             0.00072253,             0.00072253,             0.00072253
                      3,                  1.206,                 1.1912,                 0.8695,                0.96219,                0.19174,                0.29368,                0.20746,                 4.9827,                    inf,                 35.508,             0.00099156,             0.00099156,             0.00099156
                      4,                 1.1947,                 1.0392,                0.88256,                0.84871,                0.72334,                 0.7948,                0.52896,                 1.0804,                  2.567,                0.84938,             0.00094062,             0.00094062,             0.00094062
                      5,                 1.1561,                0.94161,                0.86513,                0.86908,                0.70415,                0.81704,                0.54921,                 1.1335,                 1.0528,                0.85791,             0.00094062,             0.00094062,             0.00094062
                      6,                 1.1623,                0.89572,                0.86218,                0.76351,                0.77597,                0.81242,                0.53965,                 1.1513,                 1.1691,                0.86155,              0.0008375,              0.0008375,              0.0008375
                      7,                 1.0908,                0.85126,                0.84489,                0.83855,                 0.7331,                0.82096,                0.57735,                 1.0097,                0.93182,                0.83358,             0.00073437,             0.00073437,             0.00073437
                      8,                  1.037,                0.79592,                 0.8465,                0.90631,                0.78511,                0.85799,                0.61209,                0.90655,                0.64581,                0.81312,             0.00063125,             0.00063125,             0.00063125
                      9,                0.97674,                0.74527,                0.82849,                0.89536,                0.81301,                0.86735,                0.63022,                0.88073,                0.61202,                0.81002,             0.00052812,             0.00052812,             0.00052812
                     10,                0.92882,                0.65504,                0.82352,                0.92288,                0.78044,                0.90093,                0.69118,                0.80168,                0.56014,                 0.8045,               0.000425,               0.000425,               0.000425
                     11,                0.88135,                0.60117,                0.82559,                0.87048,                0.88262,                0.91691,                0.70149,                0.76434,                0.53398,                 0.8025,             0.00032188,             0.00032188,             0.00032188
                     12,                0.86578,                0.60678,                0.81664,                0.94324,                0.86388,                0.92138,                0.70738,                0.71048,                0.52397,                 0.7957,             0.00021875,             0.00021875,             0.00021875
